BYHID,BYSID,BYSCLASS,F1H01001,F1H01002,F1H01003,F1H01004,F1H01005,F1H01006,F1H01007,F1H01008,F1H02001,F1H02002,F1H02003,F1H02004,F1H02005C,F1H02006,F1H03001,F1H03002,F1H03003,F1H03004,F1H03005C,F1H03006,F1H04001,F1H04002,F1H04003,F1H04004,F1H04005,F1H05001,F1H05002,F1H05003,F1H06001,F1H06002,F1H06003
31461,3146,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,2,70,1490,2,-4,-5,-5,-5,-5,-5,80,0,2000,1,10000,70,0,0,1,2,3
31471,3147,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,300,0129,2,2002,2,-5,-5,-5,2,300,100,20000,1,200,200,-4,-4,1,1,3
31481,3148,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,70,1113,2,2002,2,-5,-5,-5,2,70,0,-3,2,-5,70,0,0,2,-3,1
31491,3149,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,70,1490,2,2002,2,-5,-5,-5,2,100,0,0,2,-5,100,-4,-4,2,3,2
31501,3150,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,150,1553,2,2002,2,-5,-5,-5,1,150,0,5000,1,500,150,0,0,1,1,3
31511,3151,2,3001,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,2,-5,-5,-5,2,80,30,5000,2,-5,30,0,0,2,1,3
31521,3152,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,50,2321,2,2002,1,5,-5,2321,2,50,0,50,1,3000,30,0,0,1,1,4
31531,3153,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,130,1113,2,2002,1,2,95,1332,2,225,50,10000,2,-5,150,20,0,2,1,3
31541,3154,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,-2,-3,2,2002,2,-5,-5,-5,2,-3,0,-2,2,-5,100,-4,-4,1,1,1
31551,3155,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,200,2321,1,2002,1,5,-5,2321,2,200,50,15000,1,300,150,0,0,1,1,4
31561,3156,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,3,200,0156,1,400,200,-3,-3,-5,200,0,0,1,2,1
31571,3157,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,55,2322,2,2002,1,4,0,2322,2,55,0,3000,1,8000,20,0,0,2,1,4
31601,3160,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,1,80,2120,2,80,0,3000,2,-5,80,-4,-4,1,1,4
31611,3161,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,180,2321,1,2002,1,5,-5,2321,1,180,10,6000,1,5000,170,0,0,1,1,3
31621,3162,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,2,-5,-5,-5,2,50,0,3000,2,-5,50,0,0,2,2,2
31651,3165,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,2,90,1331,2,90,0,4000,1,2000,60,0,0,1,1,2
31661,3166,2,2002,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,2,-5,-5,-5,2,30,0,18000,1,-3,130,0,0,1,1,3
