BYSID,father_job,col_major,BYS22001,BYS22002,BYS23002,BYS04008,BYS04009,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schFacilSatisfi_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,AT_05,GENDER,teacherRel_cate,J007C
5712,4,2,1,3,1,1,3,3,3,1,3,3,2,3,2,2,1,5
5714,1,4,6,1,4,3,1,3,3,1,4,5,4,3,2,2,1,2
5716,4,0,5,9,5,3,4,3,4,3,2,3,4,1,1,1,1,6
5717,0,4,2,9,1,4,3,2,2,2,2,2,1,3,2,1,1,6
5719,4,4,1,7,1,1,9,3,3,2,2,2,3,1,1,1,1,1
5720,4,6,3,1,2,6,3,3,3,1,4,2,2,3,1,2,1,1
5722,4,3,8,1,3,3,1,3,3,1,3,3,3,1,1,2,1,2
5723,4,5,10,2,1,3,6,3,3,1,4,2,2,2,1,2,1,6
5724,3,2,2,6,1,1,4,3,2,2,2,4,4,3,1,2,1,1
5726,3,1,1,9,3,1,6,4,4,1,2,3,3,4,1,2,1,1
5730,1,4,1,2,1,1,6,3,3,2,2,3,2,2,0,1,2,5
5738,1,0,6,8,6,6,1,2,2,1,2,2,3,3,1,2,2,2
5739,1,1,2,8,1,1,5,4,4,1,2,4,4,2,1,2,1,1
5741,4,4,1,6,1,1,4,3,2,2,2,3,1,4,2,1,1,6
5744,0,0,1,2,1,3,5,3,3,1,1,3,2,3,2,1,1,5
5745,4,2,2,1,1,1,5,4,4,2,2,3,1,2,1,2,1,1
5749,0,6,1,2,3,1,5,3,3,2,3,2,2,2,2,2,1,5
5756,5,2,3,1,3,3,2,2,2,2,3,3,3,2,1,2,2,1
5758,5,2,9,3,1,4,5,3,3,2,1,4,3,3,1,1,1,1
5763,0,2,1,8,1,6,5,3,4,1,3,4,3,3,1,1,1,5
5768,4,1,1,8,1,4,1,3,2,2,2,3,2,3,1,2,1,6
5770,3,5,2,1,1,1,4,3,2,1,3,2,3,3,2,1,1,2
5773,4,4,1,2,1,3,1,3,3,2,2,3,3,1,1,1,1,1
5775,1,0,1,2,1,3,1,3,4,2,2,5,3,3,2,1,1,2
5778,4,5,1,2,1,4,1,2,2,2,2,3,3,1,1,1,1,8
