BYSID,Influence_cate,Influence_cate_one,Feeling_cate,consideration_cate,Intuition_cate,Sensing_cate,GENDER,jobselect1st,jobselect2nd,jobSuccess,careerMaturity_cate,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schLecSatisfi_cate,schFacilSatisfi_cate,teacherRel_cate,careerInfo_cate,selfUnderstanding_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,foreignLanguage_cate,physical_cate,faAttention_cate,moAttention_cate,BYS22001,BYS22002,BYS23002,BYS23003,BYS23004,BYS04008,BYS04009,sch_code,AT_05,club,father_job,col_major,h_major,col_major,LN_house_income,house_income_cat,J007C
5246,2,1,1,1,2,1,1,1,2,1,3,3,4,2,3,2,1,4,4,3,3,1,3,2,3,3,1,3,1,2,2,9,4,8,0,0,0,0,1,0,5.37815,3,1
5251,2,1,1,1,1,2,2,1,1,2,4,3,4,2,3,3,1,3,4,3,4,2,4,1,3,3,2,6,4,8,8,3,1,8,1,6,1,1,1,1,6.204557763,4,1
5252,2,1,1,1,2,2,2,1,1,1,3,3,2,1,3,3,1,3,3,3,2,2,3,3,3,3,2,9,1,8,2,1,3,9,2,0,4,2,2,2,4.317488114,1,1
5255,1,0,1,1,1,1,2,1,2,1,3,3,3,1,3,3,1,3,3,3,2,3,3,4,3,3,2,1,1,2,3,3,9,9,2,0,5,2,2,2,5.686975356,3,1
5258,1,0,1,1,2,1,2,1,2,2,3,2,1,2,1,3,2,2,3,2,3,1,3,2,3,3,2,1,1,2,7,3,1,8,1,0,4,2,1,2,5.686975356,3,1
5259,2,1,1,2,2,2,1,2,1,1,4,3,3,1,4,3,1,3,5,4,4,4,4,3,3,5,1,3,3,4,4,1,6,8,1,24,2,2,1,2,6.345636361,5,1
5260,1,0,1,1,1,1,1,2,2,1,3,3,2,2,2,2,1,3,3,2,1,3,2,5,3,3,1,8,3,6,2,4,6,9,0,0,0,4,2,4,5.686975356,3,1
5261,2,1,1,2,1,1,1,1,1,1,3,2,2,2,2,2,2,3,3,3,3,2,3,4,2,4,1,2,1,8,2,4,5,9,2,0,4,0,2,0,5.686975356,3,1
5263,2,1,2,1,1,2,1,1,2,2,3,3,3,1,3,3,1,5,3,4,2,3,3,4,4,4,1,9,1,6,1,4,1,9,2,18,4,5,2,5,5.703782475,3,4
5268,2,1,1,1,1,2,1,2,2,1,4,4,4,2,1,2,1,4,4,4,3,3,3,4,3,4,1,9,6,2,2,1,6,8,1,21,0,2,1,2,5.686975356,3,1
5269,1,0,1,1,1,1,1,1,1,2,4,3,2,1,2,3,1,2,4,4,3,3,3,4,3,3,5,1,5,8,1,6,4,9,2,21,1,4,2,4,6.902742737,5,2
5270,1,0,1,1,1,1,1,1,1,1,3,3,2,1,3,4,1,3,4,3,3,2,2,2,3,4,8,1,1,4,2,1,4,9,0,0,5,4,2,4,4.976733742,2,1
5275,2,1,2,1,1,1,2,2,1,2,4,3,3,2,3,3,1,4,4,3,2,1,3,2,3,4,3,6,2,4,1,9,4,10,1,26,2,0,3,0,6.204557763,4,2
5276,2,1,1,2,1,1,2,1,1,1,3,3,1,2,2,2,1,4,4,3,3,2,3,1,5,4,1,6,1,4,3,1,4,8,1,0,5,0,1,0,4.605170186,1,2
5277,1,0,2,1,1,1,2,1,2,1,3,3,3,1,3,3,1,3,4,3,3,2,3,3,3,3,2,3,1,9,2,1,3,8,1,0,3,2,1,2,5.843544417,4,2
5278,2,1,1,1,1,1,2,1,2,1,4,3,4,2,1,2,1,2,4,4,3,1,3,4,3,4,6,3,1,2,2,1,6,8,1,0,4,7,1,7,5.560681631,3,1
5279,2,1,1,2,1,1,2,1,1,1,3,3,4,1,3,3,1,2,3,4,3,2,4,3,4,4,2,3,4,1,2,1,3,9,2,0,1,5,2,5,6.956545443,5,1
5283,1,0,1,1,1,1,1,1,2,1,3,3,3,2,2,3,1,4,3,3,2,1,1,2,3,3,2,9,1,6,2,4,8,10,1,0,3,0,3,0,5.598421959,3,3
5284,1,0,1,1,1,1,1,1,2,1,4,2,2,2,3,2,2,4,4,5,2,1,2,3,4,4,2,1,1,2,2,9,3,8,1,0,0,5,1,5,4.553876892,1,3
5285,1,0,1,1,1,1,1,2,1,1,4,3,3,1,3,2,1,3,4,3,2,1,2,5,4,4,9,3,2,1,5,5,4,10,1,0,1,7,3,7,5.501258211,3,2
5286,0,0,0,2,1,1,2,2,2,2,3,2,2,1,3,2,1,3,3,2,3,1,3,1,3,3,3,1,3,2,8,4,5,8,1,0,4,2,1,2,4.317488114,1,1
5288,1,0,1,1,1,1,2,1,2,1,3,3,4,1,3,3,1,4,4,2,3,2,3,3,3,4,2,8,1,3,2,1,5,8,1,0,2,1,1,1,5.272999559,2,1
5289,1,0,1,1,1,1,1,1,1,2,3,2,3,2,3,3,1,3,4,3,3,2,3,3,3,3,2,6,1,4,1,1,3,8,0,0,5,2,1,2,4.317488114,1,2
5291,1,0,1,2,1,1,2,2,1,1,3,3,3,1,3,3,1,3,3,3,3,1,2,2,3,3,1,2,3,1,4,3,5,8,1,26,0,0,1,0,4.553876892,1,1
5293,2,1,1,1,2,1,1,1,1,1,3,3,3,2,3,3,1,3,3,3,3,3,4,3,4,3,1,5,1,5,2,1,4,9,2,0,1,0,2,0,5.940171253,4,1
5296,2,1,2,2,2,2,1,1,2,1,3,3,3,2,2,2,1,2,4,3,3,3,4,4,2,3,1,8,1,2,2,3,6,8,1,0,4,4,1,4,5.323009979,3,1
5298,1,0,1,2,1,1,1,1,1,1,3,2,2,1,2,2,1,3,3,3,2,2,2,5,3,3,1,8,1,4,3,4,6,8,0,0,1,2,1,2,6.109247583,4,1
